departamento,municipio,mineral,ecosistemas potencialmente afectados ,tipo de afectacion,metodo de extraccion
cundinamarca,bogotá,arenas y gravas,páramo,Movimiento en masa,subterránea y cielo abierto
cundinamarca,cogua,arcilla,páramo,Movimiento en masa,subterránea y cielo abierto
cundinamarca,soacha,arenas y gravas,páramo,Movimiento en masa,subterránea y cielo abierto
cundinamarca,caqueza,arenas y gravas,bosques andinos,Movimiento en masa,subterránea y cielo abierto
cundinamarca,ubala,arenas y gravas,bosques andinos,Movimiento en masa,subterránea y cielo abierto
cundinamarca,gachela,arenas y gravas,bosques andinos,Movimiento en masa,subterránea y cielo abierto
valle del cauca,buenaventura,oro,bosques andinos,Sedimentacion,aluvión y subterránea
valle del cauca,yumbo,carbón,bosques andinos,Movimiento en masa y Sedimentación,subterránea
valle del cauca,yumbo,calizas,bosques andinos,Movimiento en masa y Sedimentación,subterránea
valle del cauca,jamundi,carbón,,Sedimentación,subterránea
valle del cauca,la victoria,arcilla,,Sedimentación,subterránea y cielo abierto
valle del cauca,la victoria,arenas y gravas,,Sedimentación,subterránea y cielo abierto
valle del cauca,obando,recebos,,Sedimentación,subterránea
valle del cauca,cali,carbón,,Sedimentación,subterránea
valle del cauca,dagua,arenas y gravas,bosques andinos,Movimiento en masa,subterránea
valle del cauca,palmira,oro,páramo,Movimiento en masa,aluvión y subterránea
nariño,gauchavéz,metales preciosos,,Movimiento en masa,aluvión y subterránea
nariño,la llanada,metales preciosos,bosques andinos y páramo,Movimiento en masa,aluvión y subterránea
nariño,leiva,metales preciosos,,Sedimentación,aluvión y subterránea
nariño,pasto,recebos,,Sedimentación,subterránea y cielo abierto
nariño,piedracha,metales preciosos,,Sedimentación,aluvión y subterránea
nariño,potosí,metales preciosos,,Sedimentación,aluvión y subterránea
nariño,barbacoas,metales preciosos,,Sedimentación,aluvión y subterránea
nariño,payán,metales preciosos,,Sedimentación,aluvión y subterránea
nariño,cumbitará,oro ,,Sedimentación,aluvión y subterránea
nariño,cumbitará,plata,,Sedimentación,aluvión y subterránea
córdoba,monteria,arenas y gravas,bosques de galería y riparios,Movimiento en masa y Sedimentación,aluvión y cielo abierto
