,MINERAL,ECOS_POTENC_AFECTADOS,IMPACTOS,METODO_EXTRACCION
0,2,8,0,7
1,0,8,0,7
2,2,8,0,7
3,2,1,0,7
4,2,1,0,7
5,2,1,0,7
6,13,1,3,4
7,8,1,2,6
8,6,1,2,6
9,8,0,4,6
10,0,0,4,7
11,2,0,4,7
12,16,0,4,6
13,8,0,4,6
14,2,1,0,6
15,13,8,0,4
16,12,0,0,4
17,12,2,0,4
18,12,0,4,4
19,16,0,4,7
20,12,0,4,4
21,12,0,4,4
22,12,0,4,4
23,12,0,4,4
24,14,0,4,4
25,15,0,4,4
26,2,4,2,3
27,3,5,2,3
28,13,5,2,3
29,8,5,2,3
30,2,4,2,3
31,2,4,2,3
32,2,4,2,3
33,2,4,2,3
34,2,0,4,3
35,2,5,2,3
36,2,3,2,3
37,13,3,2,3
38,8,3,2,3
39,3,5,2,3
40,13,5,2,3
41,2,4,1,3
42,2,0,1,3
43,13,0,4,3
44,2,0,4,3
45,13,1,2,4
46,2,1,2,4
47,2,1,2,4
48,1,1,0,4
49,2,8,2,4
50,13,8,2,4
51,2,0,4,4
52,2,0,4,4
53,2,1,2,4
54,13,1,4,4
55,13,0,2,4
56,2,0,4,4
57,2,0,2,4
58,2,0,4,4
59,13,0,4,4
60,2,0,2,4
61,2,0,4,4
62,2,1,2,4
63,2,0,4,4
64,13,7,4,4
65,8,0,4,5
66,6,0,0,5
67,6,0,0,5
68,6,0,0,5
69,2,1,0,0
70,6,3,0,0
71,2,9,0,0
72,13,0,4,6
73,2,1,4,7
74,18,1,2,7
75,5,1,2,7
76,10,1,2,7
77,6,1,2,7
78,17,0,2,7
79,8,0,2,1
80,6,0,4,7
81,10,0,4,7
82,6,0,0,7
83,9,0,0,3
84,13,0,5,4
85,3,0,5,4
86,13,0,5,4
87,14,0,5,4
88,8,0,5,4
89,2,0,5,4
90,16,0,5,4
91,2,0,5,4
92,16,2,5,4
93,2,0,5,4
94,4,0,5,4
95,8,0,5,4
96,2,0,5,4
97,16,0,5,4
98,2,0,5,4
99,2,0,5,4
100,7,0,5,4
101,13,0,5,4
102,13,0,5,4
103,13,0,5,4
104,2,0,5,4
105,4,0,5,4
106,16,0,5,4
107,13,0,5,4
108,13,0,5,4
109,15,0,5,4
110,13,0,5,4
111,15,0,5,4
112,13,0,5,4
113,15,0,5,4
114,13,0,5,4
115,15,0,5,4
116,13,0,5,4
117,13,0,5,4
118,13,0,5,4
119,13,0,5,4
120,13,0,5,4
121,13,0,5,4
122,13,0,5,4
123,13,0,5,4
124,13,0,5,4
125,13,0,5,4
126,13,0,5,4
127,13,0,5,4
128,13,0,5,4
129,13,0,5,4
130,13,0,5,4
131,13,0,5,4
132,13,0,5,4
133,13,0,5,4
134,13,0,5,4
135,13,0,5,4
136,13,0,5,4
137,13,6,5,4
138,13,0,5,4
139,13,0,5,4
140,13,0,5,4
141,2,0,5,3
142,16,0,2,3
143,2,0,5,3
144,2,0,5,3
145,13,0,5,4
146,16,0,5,3
147,0,0,5,3
148,13,0,5,4
149,2,0,5,3
150,16,0,5,3
151,16,0,5,3
152,2,0,5,3
153,16,0,5,3
154,2,0,5,3
155,2,0,5,3
156,16,0,5,3
157,16,0,5,3
158,2,0,5,3
159,2,0,5,3
160,16,0,5,3
161,2,0,5,3
162,2,0,5,3
163,11,0,5,4
164,2,0,5,3
165,2,0,5,3
166,2,0,5,3
167,2,0,5,3
168,11,0,5,4
169,11,0,5,4
170,11,0,5,4
171,11,0,5,4
172,11,0,5,4
173,11,0,5,4
174,2,0,2,2
175,11,0,2,4
